NAME,BRANDNAME,PB_ID,TRADE_NAME,FRANCHISE_NAME,ISO3,AREANAME4,AREANAME3,AREANAME2,AREANAME1,STABB,POSTCODE,FORMATTEDADDRESS,MAINADDRESSLINE,ADDRESSLASTLINE,LONGITUDE,LATITUDE,GEORESULT,CONFIDENCE_CODE,COUNTRY_ACCESS_CODE,TEL_NUM,FAXNUM,EMAIL,HTTP,OPEN_24H,BUSINESS_LINE,SIC1,SIC2,SIC8,SIC8_DESCRIPTION,ALT_INDUSTRY_CODE,MICODE,TRADE_DIVISION,GROUP,CLASS,SUB_CLASS,EMPLOYEE_HERE,EMPLOYEE_COUNT,YEAR_START,SALES_VOLUME_LOCAL,SALES_VOLUME_US_DOLLARS,CURRENCY_CODE,AGENT_CODE,LEGAL_STATUS_CODE,STATUS_CODE,SUBSIDIARY_INDICATOR,PARENT_BUSINESS_NAME,PARENT_ADDRESS,PARENT_STREET_ADDRESS,PARENT_AREANAME3,PARENT_AREANAME1,PARENT_COUNTRY,PARENT_POSTCODE,DOMESTIC_ULTIMATE_BUSINESS_NAME,DOMESTIC_ULTIMATE_ADDRESS,DOMESTIC_ULTIMATE_STREET_ADDRESS,DOMESTIC_ULTIMATE_AREANAME3,DOMESTIC_ULTIMATE_AREANAME1,DOMESTIC_ULTIMATE_POSTCODE,GLOBAL_ULTIMATE_INDICATOR,GLOBAL_ULTIMATE_BUSINESS_NAME,GLOBAL_ULTIMATE_ADDRESS,GLOBAL_ULTIMATE_STREET_ADDRESS,GLOBAL_ULTIMATE_AREANAME3,GLOBAL_ULTIMATE_AREANAME1,GLOBAL_ULTIMATE_COUNTRY,GLOBAL_ULTIMATE_POSTCODE,FAMILY_MEMBERS,HIERARCHY_CODE,TICKER_SYMBOL,EXCHANGE_NAME,geom
BASIC MERCAT,,2170953482,,,AND,,ANDORRA LA VELLA,,,,AD500,"AVINGUDA MERITXELL 50, AD500, ANDORRA LA VELLA",AVINGUDA MERITXELL 50,"AD500, ANDORRA LA VELLA",1.526544,42.508297,T16,MEDIUM,,,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(1.526544 42.508297)
VIAJES EL CORTE INGLES,,2022922880,VIAJES EL CORTE INGLÉS,,ESP,,GUADALAJARA,GUADALAJARA,CASTILLA-LA MANCHA,CM,19003,"PASEO DEL DOCTOR FERNÁNDEZ IPARRAGUIRRE 21, 19003, GUADALAJARA, GUADALAJARA",PASEO DEL DOCTOR FERNÁNDEZ IPARRAGUIRRE 21,"19003, GUADALAJARA, GUADALAJARA",-3.1686133581649534,40.6289692279204,S5HPNTSCZA,HIGH,,949 21 42 43,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-3.16861335816495 40.6289692279204)
VIAJES EL CORTE INGLÉS,,2022558757,VIAJES EL CORTE INGLÉS,,ESP,,PALENCIA,PALENCIA,CASTILLA Y LEÓN,CL,34002,"AVENIDA DE MANUEL RIVERA 12, 34002, PALENCIA, PALENCIA",AVENIDA DE MANUEL RIVERA 12,"34002, PALENCIA, PALENCIA",-4.527211647520674,42.00825244893781,S5HPNTSCZA,HIGH,,979 72 68 88,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-4.52721164752067 42.0082524489378)
SOLO MUSCULOS,,2169326426,,,ESP,,PALENCIA,PALENCIA,CASTILLA Y LEÓN,CL,34005,"CALLE DE EDUARDO DATO 3, 34005, PALENCIA, PALENCIA",CALLE DE EDUARDO DATO 3,"34005, PALENCIA, PALENCIA",-4.534949,42.013235,T16,MEDIUM,,979 74 36 59,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-4.534949 42.013235)
CARNICERIA CARLOS SIMO,,2162549280,,,ESP,,MONZÓN DE CAMPOS,PALENCIA,CASTILLA Y LEÓN,CL,34410,"PLAZA MAYOR 6, 34410, MONZÓN DE CAMPOS, PALENCIA",PLAZA MAYOR 6,"34410, MONZÓN DE CAMPOS, PALENCIA",-4.493906334120813,42.11629665870746,S5HPNTSCZA,HIGH,,979 80 81 92,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-4.49390633412081 42.1162966587075)
DESPENSA DE LOS ARRIBES,,2170737749,,,ESP,,FERMOSELLE,ZAMORA,CASTILLA Y LEÓN,CL,49220,"CALLE DE REQUEJO 71 0000, 49220, FERMOSELLE, ZAMORA",CALLE DE REQUEJO 71 0000,"49220, FERMOSELLE, ZAMORA",-6.397348,41.318678,T20,LOW,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-6.397348 41.318678)
SUPERMERCADOS SUPER LOPEZ,,2164545403,,,ESP,,SACEDÓN,GUADALAJARA,CASTILLA-LA MANCHA,CM,19120,"AVENIDA ENTREPEÑAS 3, 19120, SACEDÓN, GUADALAJARA",AVENIDA ENTREPEÑAS 3,"19120, SACEDÓN, GUADALAJARA",-2.733719204356803,40.4811760018322,S5HPNTSCZA,HIGH,,949 35 04 56,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-2.7337192043568 40.4811760018322)
CORPORACION AGRO DEL J,,2164328848,,,ESP,,CALAMOCHA,TERUEL,ARAGÓN,AR,44200,"44200, CALAMOCHA, TERUEL",,"44200, CALAMOCHA, TERUEL",-1.28352,40.91456,T20,LOW,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-1.28352 40.91456)
SUPER JULIO Y ESTRELLA,,2166195358,,,ESP,,MOSQUERUELA,TERUEL,ARAGÓN,AR,44410,"CALLE MAYOR 9, 44410, MOSQUERUELA, TERUEL",CALLE MAYOR 9,"44410, MOSQUERUELA, TERUEL",-0.44856,40.36163,S8HPNTSCZA,HIGH,,978 80 50 52,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-0.44856 40.36163)
CONGELADOS VIVERA,,2166791922,,,ESP,,CEUTA,CEUTA,CIUDAD DE CEUTA,CE,51001,"AVENIDA DE OTERO, 51001, CEUTA, CEUTA",AVENIDA DE OTERO,"51001, CEUTA, CEUTA",-5.32729,35.88776,T20,LOW,,,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-5.32729 35.88776)
PIQUER ELENA J. M,,2163018198,,,ESP,,SANTA EULALIA,TERUEL,ARAGÓN,AR,44360,"CALLE SAN PASCUAL 9, 44360, SANTA EULALIA, TERUEL",CALLE SAN PASCUAL 9,"44360, SANTA EULALIA, TERUEL",-1.31237,40.567119,T16,MEDIUM,,978 86 01 26,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-1.31237 40.567119)
UNION COMARCAL AGREDANA DE AGREDA SCL,,2160396393,,,ESP,,ÁGREDA,SORIA,CASTILLA Y LEÓN,CL,42100,"CARRETERA DE DEVANOS, 42100, ÁGREDA, SORIA",CARRETERA DE DEVANOS,"42100, ÁGREDA, SORIA",-1.9204848,41.8577846,T14,MEDIUM,,976 19 70 87,976 19 70 87,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-1.9204848 41.8577846)
POZA NICOLAS JUAN MANUEL,,2096277372,,,ESP,,SALDAÑA,PALENCIA,CASTILLA Y LEÓN,CL,34100,"AVENIDA DEL SOTO 5, 34100, SALDAÑA, PALENCIA",AVENIDA DEL SOTO 5,"34100, SALDAÑA, PALENCIA",-4.7411,42.51946,S8HPNTSCZA,HIGH,,979 89 20 90,,,,,,5331,,53310000,VARIETY STORES,,10010102,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,VARIETY STORES,VARIETY STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-4.7411 42.51946)
