NAME,BRANDNAME,PB_ID,TRADE_NAME,FRANCHISE_NAME,ISO3,AREANAME4,AREANAME3,AREANAME2,AREANAME1,STABB,POSTCODE,FORMATTEDADDRESS,MAINADDRESSLINE,ADDRESSLASTLINE,LONGITUDE,LATITUDE,GEORESULT,CONFIDENCE_CODE,COUNTRY_ACCESS_CODE,TEL_NUM,FAXNUM,EMAIL,HTTP,OPEN_24H,BUSINESS_LINE,SIC1,SIC2,SIC8,SIC8_DESCRIPTION,ALT_INDUSTRY_CODE,MICODE,TRADE_DIVISION,GROUP,CLASS,SUB_CLASS,EMPLOYEE_HERE,EMPLOYEE_COUNT,YEAR_START,SALES_VOLUME_LOCAL,SALES_VOLUME_US_DOLLARS,CURRENCY_CODE,AGENT_CODE,LEGAL_STATUS_CODE,STATUS_CODE,SUBSIDIARY_INDICATOR,PARENT_BUSINESS_NAME,PARENT_ADDRESS,PARENT_STREET_ADDRESS,PARENT_AREANAME3,PARENT_AREANAME1,PARENT_COUNTRY,PARENT_POSTCODE,DOMESTIC_ULTIMATE_BUSINESS_NAME,DOMESTIC_ULTIMATE_ADDRESS,DOMESTIC_ULTIMATE_STREET_ADDRESS,DOMESTIC_ULTIMATE_AREANAME3,DOMESTIC_ULTIMATE_AREANAME1,DOMESTIC_ULTIMATE_POSTCODE,GLOBAL_ULTIMATE_INDICATOR,GLOBAL_ULTIMATE_BUSINESS_NAME,GLOBAL_ULTIMATE_ADDRESS,GLOBAL_ULTIMATE_STREET_ADDRESS,GLOBAL_ULTIMATE_AREANAME3,GLOBAL_ULTIMATE_AREANAME1,GLOBAL_ULTIMATE_COUNTRY,GLOBAL_ULTIMATE_POSTCODE,FAMILY_MEMBERS,HIERARCHY_CODE,TICKER_SYMBOL,EXCHANGE_NAME,geom
HUSAIN'S FASHIONS,,2011204802,,,USA,,TUSCALOOSA,TUSCALOOSA,ALABAMA,AL,35401,"3201 STILLMAN BLVD, TUSCALOOSA, AL 35401",3201 STILLMAN BLVD,"TUSCALOOSA, AL 35401",-87.577749,33.202438,S8HPNTSCZA,HIGH,,(205) 750-0702,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-87.577749 33.202438)
GOODY'S,GOODY'S,2011227410,GOODY'S,,USA,,GENEVA,GENEVA,ALABAMA,AL,36340,"1402 W MAPLE AVE, GENEVA, AL 36340",1402 W MAPLE AVE,"GENEVA, AL 36340",-85.894450,31.047544,S5HPNTSCZA,HIGH,,(334) 684-2214,,,WWW.STAGESTORES.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-85.89445 31.047544)
CITI TRENDS,CITI TRENDS,2011234818,CITI TRENDS,,USA,,TALLADEGA,TALLADEGA,ALABAMA,AL,35160,"807 BATTLE ST E, TALLADEGA, AL 35160",807 BATTLE ST E,"TALLADEGA, AL 35160",-86.084328,33.438740,S7HPNTSCZA,HIGH,,(256) 362-0459,,INFO@CITITRENDS.COM,WWW.CITITRENDS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-86.084328 33.43874)
DEPARTMENT STORE DIRECT,,2011250243,,,USA,,CULLMAN,CULLMAN,ALABAMA,AL,35055,"802 MAIN AVE NE, CULLMAN, AL 35055",802 MAIN AVE NE,"CULLMAN, AL 35055",-86.847353,34.185178,S8HPNTSCZA,HIGH,,(256) 775-7838,,,WWW.DEPTSTOREDIRECT.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-86.847353 34.185178)
SHELTONS CLOTHING,,2011251945,,,USA,,MOULTON,LAWRENCE,ALABAMA,AL,35650,"9740 AL HIGHWAY 157, MOULTON, AL 35650",9740 AL HIGHWAY 157,"MOULTON, AL 35650",-87.253304,34.464891,S8HPNTSCZA,HIGH,,(256) 974-0608,,,WWW.SHELTONSCLOTHING.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-87.253304 34.464891)
ALCO,,2011366164,,,USA,,HOT SPRINGS NATIONAL PARK,GARLAND,ARKANSAS,AR,71901,"1540 MALVERN AVE, HOT SPRINGS NATIONAL PARK, AR 71901",1540 MALVERN AVE,"HOT SPRINGS NATIONAL PARK, AR 71901",-93.040345,34.494536,S8HPNTSCZA,HIGH,,(501) 624-7151,,,DUCKWALL.COM/,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-93.040345 34.494536)
NORDSTROM GROUP,,2011497097,NORDSTROM,,USA,,TUCSON,PIMA,ARIZONA,AZ,85718,"2200 E RIVER RD, TUCSON, AZ 85718",2200 E RIVER RD,"TUCSON, AZ 85718",-110.939135,32.286589,T16,MEDIUM,,(520) 299-5850,,,WWW.NORDSTROMGROUP.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-110.939135 32.286589)
TARGET,TARGET,2011551203,TARGET,,USA,,CHANDLER,MARICOPA,ARIZONA,AZ,85225,"2150 N ARIZONA AVE, CHANDLER, AZ 85225",2150 N ARIZONA AVE,"CHANDLER, AZ 85225",-111.843587,33.338663,S8HPNTSCZA,HIGH,,(480) 281-0105,(480) 899-7986,,WWW.TARGET.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-111.843587 33.338663)
PACIFIC-VALLEY SALES,,2011887454,,,USA,,SAN RAFAEL,MARIN,CALIFORNIA,CA,94903,"77 MARK DR, SAN RAFAEL, CA 94903",77 MARK DR,"SAN RAFAEL, CA 94903",-122.537867,38.014394,S8HPNTSCZA,HIGH,,(415) 492-9332,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-122.537867 38.014394)
CAMBRIC OF LOS GATOS,,2011904977,,,USA,,LOS GATOS,SANTA CLARA,CALIFORNIA,CA,95030,"10 N SANTA CRUZ AVE, LOS GATOS, CA 95030",10 N SANTA CRUZ AVE,"LOS GATOS, CA 95030",-121.983460,37.222957,S8HPNTSCZA,HIGH,,(408) 395-4664,,INFO@GRAPHCOMP.COM,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-121.98346 37.222957)
