"incident_datetime","incident_date","incident_time","incident_year","incident_day_of_week","report_datetime","row_id","incident_id","incident_number","cad_number","report_type_code","report_type_description","filed_online","incident_code","incident_category","incident_subcategory","incident_description","resolution","intersection","cnn","police_district","analysis_neighborhood","supervisor_district","latitude","longitude","point",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_nqbw_i6c3",":@computed_region_2dwj_jsy4",":@computed_region_h4ep_8xdi",":@computed_region_y6ts_4iup",":@computed_region_jg9y_a9du"
"2019-08-15T11:41:00.000","2019-08-15T00:00:00.000","11:41","2019","Thursday","2019-10-01T14:06:00.000","85424006374","854240","196208089",,"II","Coplogic Initial","true","06374","Larceny Theft","Larceny Theft - Other","Theft, Other Property, >$950","Open or Active",,,"Central",,,,,,,,,,,,,,
"2019-09-17T22:00:00.000","2019-09-17T00:00:00.000","22:00","2019","Tuesday","2019-10-02T22:01:00.000","85426606374","854266","196208205",,"II","Coplogic Initial","true","06374","Larceny Theft","Larceny Theft - Other","Theft, Other Property, >$950","Open or Active",,,"Out of SF",,,,,,,,,,,,,,
"2019-10-04T14:25:00.000","2019-10-04T00:00:00.000","14:25","2019","Friday","2019-10-04T16:13:00.000","85442603474","854426","190746203","192772728","II","Initial",,"03474","Robbery","Robbery - Other","Robbery, Att., W/ Force","Open or Active","BALBOA ST \ GREAT HWY","28009000","Richmond","Outer Richmond","1","37.77507596005672","-122.51129492624534","POINT (-122.51129492624534 37.77507596005672)","8","8","4","29",,,,,
"2019-10-03T19:30:00.000","2019-10-03T00:00:00.000","19:30","2019","Thursday","2019-10-03T23:25:00.000","85419706244","854197","190744514","192764437","II","Initial",,"06244","Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","MARKET ST \ RESERVOIR ST","25877000","Mission","Castro/Upper Market","8","37.76877049785351","-122.42746205880601","POINT (-122.42746205880601 37.76877049785351)","28","3","5","5","5",,,,
"2019-10-04T16:53:00.000","2019-10-04T00:00:00.000","16:53","2019","Friday","2019-10-04T16:53:00.000","85446351040","854463","190746532","192772932","II","Initial",,"51040","Non-Criminal","Non-Criminal","Aided Case","Open or Active","42ND AVE \ CLEMENT ST \ VETERANS DR","27919000","Richmond","Outer Richmond","1","37.781176766186576","-122.5030864538133","POINT (-122.5030864538133 37.781176766186576)","6","8","4","29",,,,,
"2019-10-02T14:10:00.000","2019-10-02T00:00:00.000","14:10","2019","Wednesday","2019-10-02T22:59:00.000","85425706224","854257","196208142",,"II","Coplogic Initial","true","06224","Larceny Theft","Larceny - From Vehicle","Theft, From Unlocked Vehicle, >$950","Open or Active","STOCKTON ST \ NORTH POINT ST","25478000","Central","North Beach","3","37.80696290988273","-122.410497554147","POINT (-122.410497554147 37.80696290988273)","99","6","3","23",,,,,
"2019-10-03T23:30:00.000","2019-10-03T00:00:00.000","23:30","2019","Thursday","2019-10-03T23:31:00.000","85422712030","854227","190744586","192764446","II","Initial",,"12030","Weapons Offense","Weapons Offense","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","Cite or Arrest Adult","AL SCOMA WAY \ JEFFERSON ST","35066000","Central","North Beach","3","37.807978726080414","-122.417715898404","POINT (-122.417715898404 37.807978726080414)","99","6","3","23",,,,,
"2019-10-04T14:40:00.000","2019-10-04T00:00:00.000","14:40","2019","Friday","2019-10-04T14:51:00.000","85445026080","854450","190746059","192772346","II","Initial",,"26080","Other Miscellaneous","Other","Conspiracy","Open or Active","17TH AVE \ CLEMENT ST","27502000","Richmond","Outer Richmond","1","37.78240595374784","-122.47630655314094","POINT (-122.47630655314094 37.78240595374784)","5","8","4","29",,,,,
"2019-10-04T13:35:00.000","2019-10-04T00:00:00.000","13:35","2019","Friday","2019-10-04T15:49:00.000","85444019089","854440","190746184","192772064","II","Initial",,"19089","Disorderly Conduct","Other","Incident On School Grounds","Open or Active","FOREST VIEW DR \ EUCALYPTUS DR","23125000","Taraval","Lakeshore","7","37.7310799713596","-122.48354489158451","POINT (-122.48354489158451 37.7310799713596)","62","10","8","16",,,,,
"2019-10-04T00:00:00.000","2019-10-04T00:00:00.000","00:00","2019","Friday","2019-10-04T11:07:00.000","85435707025","854357","190745409","192770635","VI","Vehicle Initial",,"07025","Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Truck","Open or Active","GARRISON AVE \ SCHWERIN ST","20369000","Ingleside","Visitacion Valley","10","37.709210351433505","-122.41196819816332","POINT (-122.41196819816332 37.709210351433505)","75","9","9","40",,,,,
