the_geom,cartodb_id,popcy,data_range,range_label,lbfcyempl,educybach,inccymedhh,id_store
0106000020E61000000100000001030000000100000033000000410E4A98697F52C0F146E6913F5044405DDC4603787F52C0AA7D3A1E335044405AD8D30E7F7F52C0473D44A33B504440B3295778977F52C0795DBF6037504440085A8121AB7F52C01500E3193450444021EA3E00A97F52C0B98D06F016504440F9669B1BD37F52C02AA913D0445044403524EEB1F47F52C063D17476325044409279E40F068052C05C8FC2F52850444059518369188052C032772D211F504440679B1BD3138052C0B9FC87F4DB4F44408B71FE26148052C06BD44334BA4F444040A4DFBE0E8052C04F92AE997C4F4440C7BAB88D068052C0174850FC184F4440BC749318048052C05E9D6340F64E444079CC4065FC7F52C0D1967329AE4E444080F10C1AFA7F52C03BC269C18B4E44407DD0B359F57F52C0ED9925016A4E4440EB56CF49EF7F52C08369183E224E4440809A5AB6D67F52C099F56228274E44405969520ABA7F52C0EEEBC039234E44406475ABE7A47F52C099F56228274E44404BAB21718F7F52C0202922C32A4E44408CF84ECC7A7F52C01904560E2D4E44403ACC9717607F52C02E90A0F8314E44407A19C5724B7F52C02046088F364E44400F971C774A7F52C091ED7C3F354E4440F7CC9200357F52C060CD0182394E4440CC9717601F7F52C0E700C11C3D4E444082AD122C0E7F52C0CA6C9049464E444069E388B5F87E52C0F5673F52444E4440E275FD82DD7E52C07C7E18213C4E444022A64412BD7E52C035D252793B4E4440D1967329AE7E52C00AF4893C494E4440AA8251499D7E52C051BD35B0554E4440ADA3AA09A27E52C0CA37DBDC984E4440D49AE61DA77E52C0B459F5B9DA4E4440F14BFDBCA97E52C025581CCEFC4E444022895E46B17E52C081785DBF604F44406614CB2DAD7E52C0650113B8754F444009F9A067B37E52C072DC291DAC4F4440944DB9C2BB7E52C09D685721E54F44409F93DE37BE7E52C0551344DD075044400D54C6BFCF7E52C0DC114E0B5E504440344B02D4D47E52C0718FA50F5D5044402D6002B7EE7E52C0FFE7305F5E504440172B6A300D7F52C0DCF4673F52504440F7AFAC34297F52C0153AAFB14B50444021E527D53E7F52C06A300DC34750444045F5D6C0567F52C055A4C2D842504440410E4A98697F52C0F146E6913F504440,3,1311.66700503648,900,15 min.,568.006658144298,151.682216821044,48475.834346493,C
0106000020E610000001000000010300000001000000330000004B1FBAA0BE7752C0EA094B3CA0544440CF4E0647C97752C0467C2766BD544440B2D7BB3FDE7752C0E23B31EBC5544440A089B0E1E97752C0F1F44A5986544440ABCFD556EC7752C03FA9F6E978544440446E861BF07752C06A1327F73B544440A0A696ADF57752C000AE64C746544440FCDEA63FFB7752C0F20C1AFA2754444047ACC5A7007852C047C9AB730C54444000E31934F47752C06B2BF697DD5344400E4A9869FB7752C000A94D9CDC534440AE2AFBAE087852C024624A24D153444011363CBD527852C0A48D23D6E25344402E73BA2C267852C024D1CB28965344400A80F10C1A7852C0F37684D382534440802BD9B1117852C0D6A8876874534440A7052FFA0A7852C041B797344653444020D26F5F077852C08121AB5B3D5344407CED9925017852C050C763062A534440C05B2041F17752C0971C774A0753444027BD6F7CED7752C082734694F6524440EB39E97DE37752C0B493C151F2524440DDB5847CD07752C009E1D1C611534440F6285C8FC27752C0FB5C6DC5FE5244405969520ABA7752C090F7AA950953444041BCAE5FB07752C0B3EA73B515534440280F0BB5A67752C0FAB31F29225344400B5EF415A47752C0176536C82453444044A33B889D7752C025CCB4FD2B534440331B6492917752C06C95607138534440D6E253008C7752C0ECA353573E5344404FAF9465887752C02C2B4D4A415344407DAEB6627F7752C05E68AED348534440ACADD85F767752C06CCF2C0950534440C84109336D7752C07A36AB3E5753444068E89FE0627752C016F6B4C35F5344405E85949F547752C04850FC18735344405BB6D617097752C016C1FF56B25344404C6C3EAE0D7752C07233DC80CF5344407EA99F37157752C0569FABADD85344400938842A357752C00E10CCD1E3534440618907944D7752C0323D61890754444068CBB914577752C09CF9D51C20544440A86F99D3657752C02384471B475444404C546F0D6C7752C0382D78D1575444404C378941607752C014E81379925444400F0BB5A6797752C0E3AAB2EF8A544440D6E253008C7752C08D0B0742B2544440560E2DB29D7752C08DEE2076A65444404F0647C9AB7752C022895E46B15444404B1FBAA0BE7752C0EA094B3CA0544440,7,2215.53929022737,900,15 min.,1181.26588200251,313.73981042903,35125.8706208998,G
0106000020E610000001000000010300000001000000330000008CD651D5047F52C019C5724BAB594440D0B87020247F52C0689604A8A9594440B020CD58347F52C0FD6A0E10CC594440DE3CD521377F52C061545227A0594440D734EF38457F52C084F068E388594440CC28965B5A7F52C0AFB14B546F594440D6A88768747F52C013F241CF66594440ACCABE2B827F52C068CBB914575944409357E718907F52C09ACE4E0647594440E4839ECDAA7F52C08C101E6D1C594440EFE6A90EB97F52C0C5387F130A5944404F5DF92CCF7F52C03ECBF3E0EE58444036EA211ADD7F52C046990D32C9584440E4A08499B67F52C07FF623456458444012A0A696AD7F52C0DCD7817346584440520ABABDA47F52C05C8FC2F52858444048A7AE7C967F52C01D9430D3F65744406F641EF9837F52C039D1AE42CA5744409A42E735767F52C06B60AB048B574440C11C3D7E6F7F52C016139B8F6B57444053793BC2697F52C0252367614F57444088635DDC467F52C0A5315A47555744405726FC523F7F52C05E68AED34857444089EFC4AC177F52C08FC2F5285C574440D7A3703D0A7F52C016F6B4C35F57444089B5F814007F52C02497FF907E5744404DF8A57EDE7E52C088BA0F406A5744405B25581CCE7E52C0DDCD531D72574440B84082E2C77E52C09D8026C286574440D1967329AE7E52C0567DAEB6625744408ACDC7B5A17E52C0FA6184F068574440E38DCC237F7E52C0E5D539066457444066834C32727E52C081B22957785744406E8B321B647E52C08143A852B3574440C74B3789417E52C0E4BD6A65C257444003B2D7BB3F7E52C0478FDFDBF4574440EE258DD13A7E52C04ED1915CFE5744406AF6402B307E52C0C0266BD44358444031B1F9B8367E52C07077D66EBB5844409C508880437E52C0B8239C16BC584440F8889812497E52C0B77A4E7ADF5844409FC893A46B7E52C0E92B483316594440F5DBD781737E52C07EC68503215944403BDF4F8D977E52C0C503CAA65C594440ED0DBE30997E52C0C503CAA65C59444098512CB7B47E52C0BEDEFDF15E5944402DEC6987BF7E52C01AA88C7F9F5944409FCDAACFD57E52C04B1FBAA0BE594440C6E1CCAFE67E52C0BD00FBE8D459444014D044D8F07E52C0C408E1D1C65944408CD651D5047F52C019C5724BAB594440,9,1683.22918626973,900,15 min.,1012.73775262988,449.871004985706,87079.1350912638,I
0106000020E61000000100000001030000000100000033000000A86F99D3657D52C05ED72FD80D57444061FD9FC37C7D52C0E5D022DBF956444024B4E55C8A7D52C0422619390B574440A1DB4B1AA37D52C02D6002B7EE5644409DF4BEF1B57D52C033DC80CF0F57444096ECD808C47D52C025581CCEFC5644401D3D7E6FD37D52C065A54929E8564440672783A3E47D52C042959A3DD0564440E7525C55F67D52C0425BCEA5B85644408B54185B087E52C01F4B1FBAA056444003780B24287E52C0833463D1745644405C8FC2F5287E52C01FD7868A715644408AE59656437E52C0BCE82B48335644400057B263237E52C0A774B0FECF55444060C8EA56CF7D52C0E8C1DD59BB55444092E86514CB7D52C0E84D452A8C554440A032FE7DC67D52C0933A014D84554440D97745F0BF7D52C08CF84ECC7A554440210725CCB47D52C0211FF46C565544409DD7D825AA7D52C021C84109335544409DD7D825AA7D52C0E9B7AF03E75444408F705AF0A27D52C0D4D4B2B5BE544440E84D452A8C7D52C08D28ED0DBE54444008E6E8F17B7D52C09B1BD3139654444065E42CEC697D52C03815A930B6544440EFFE78AF5A7D52C0BF823463D1544440E57E87A2407D52C054E3A59BC4544440CCD1E3F7367D52C0B0389CF9D5544440695721E5277D52C037A6272CF154444025AFCE31207D52C09B3DD00A0C5544407767EDB60B7D52C045F0BF95EC5444409B030473F47C52C0F775E09C11554440B493C151F27C52C0E96514CB2D55444042B28009DC7C52C01361C3D32B554440B84082E2C77C52C05322895E46554440E622BE13B37C52C0FE65F7E461554440CD58349D9D7C52C084D382177D554440EA95B20C717C52C012BD8C62B955444094F6065F987C52C075E5B33C0F56444006BB61DBA27C52C0609335EA2156444002D4D4B2B57C52C0912749D74C56444086200725CC7C52C098C0ADBB79564440179AEB34D27C52C0D13FC1C58A564440EDD808C4EB7C52C0BB44F5D6C056444005A3923A017D52C097C5C4E6E356444057957D57047D52C07B319413ED564440C2340C1F117D52C0172B6A300D574440E544BB0A297D52C07AC2120F285744405322895E467D52C0AC8BDB68005744400FB40243567D52C0D7DD3CD521574440A86F99D3657D52C05ED72FD80D574440,1,1221.45578906237,900,15 min.,718.226418376913,263.022098089164,51739.7158876787,A
0106000020E610000001000000010300000001000000330000003A4030478F7D52C0D07EA4880C4B44404FE960FD9F7D52C002BC0512144B444096B20C71AC7D52C009A7052FFA4A44402B6A300DC37D52C090831266DA4A44402783A3E4D57D52C0B3CD8DE9094B4440D6AD9E93DE7D52C097E2AAB2EF4A44402098A3C7EF7D52C0BB9BA73AE44A44400725CCB4FD7D52C03B53E8BCC64A4440BC9179E40F7E52C0ADC090D5AD4A4440273108AC1C7E52C02DB29DEFA74A4440C3F01131257E52C0F4F8BD4D7F4A4440C32ADEC83C7E52C0E73A8DB4544A44407CD5CA845F7E52C0E010AAD4EC494440E674594C6C7E52C02849D74CBE4944405C2041F1637E52C044DD0720B54944402AC6F99B507E52C0130F289B72494440E02D90A0F87D52C06F8104C58F494440BD1DE1B4E07D52C03D618907944944407958A835CD7D52C0D3DEE00B93494440E4A08499B67D52C0A8E3310395494440CBF3E0EEAC7D52C05A12A0A696494440C4B12E6EA37D52C00B410E4A9849444032384A5E9D7D52C076C3B645994944405A12A0A6967D52C0E1455F419A494440A4C2D842907D52C028F224E99A4944401349F4328A7D52C09274CDE49B4944408F19A88C7F7D52C0FDF675E09C4944402176A6D0797D52C044A33B889D494440A167B3EA737D52C08B4F01309E49444033C4B12E6E7D52C0D2FBC6D79E49444036C82423677D52C01AA88C7F9F49444061C3D32B657D52C01AA88C7F9F4944408CA19C68577D52C0A80018CFA04944404CFDBCA9487D52C05A2F8672A2494440E882FA96397D52C0E88711C2A34944409B030473F47C52C0E84D452A8C494440D40E7F4DD67C52C07DE882FA96494440715AF0A2AF7C52C0F67F0EF3E549444098512CB7B47C52C0FC6F253B364A4440E94317D4B77C52C083A3E4D5394A4440F4C308E1D17C52C08351499D804A4440573ECBF3E07C52C0268DD13AAA4A4440A54929E8F67C52C0ADFA5C6DC54A4440744694F6067D52C010751F80D44A4440975643E21E7D52C042B28009DC4A444037548CF3377D52C0AD342905DD4A4440855FEAE74D7D52C0DEE522BE134B4440CF49EF1B5F7D52C0FB05BB61DB4A444088D7F50B767D52C0906B43C5384B44403A0664AF777D52C0DE3CD521374B44403A4030478F7D52C0D07EA4880C4B4440,2,1534.2481328115,900,15 min.,688.736909816814,342.199721709317,43053.619349713,B
0106000020E61000000100000001030000000100000033000000F9669B1BD38152C0EE940ED6FF514440205ED72FD88152C0F5B9DA8AFD5144401973D712F28152C076711B0DE0514440C4995FCD018252C0CB4A9352D05144408B54185B088252C03DF20703CF51444055302AA9138252C0F6285C8FC2514440079964E42C8252C05227A089B0514440C32ADEC83C8252C0A80018CFA0514440F163CC5D4B8252C0DA03ADC09051444026DF6C73638252C08599B67F65514440AE122C0E678252C068E89FE0625144408D7A8846778252C07EE36BCF2C514440CA1AF5108D8252C02905DD5ED2504440545227A0898252C03815A930B650444071AC8BDB688252C0FF3EE3C28150444058FFE7305F8252C07FF6234564504440E73A8DB4548252C02384471B47504440BC22F8DF4A8252C05C8FC2F528504440CE531D72338252C096438B6CE74F4440274EEE77288252C01D2098A3C74F4440C7F484251E8252C0C1ADBB79AA4F4440E78C28ED0D8252C09D6340F67A4F4440D50451F7018252C0A4A5F276844F44405DC47762D68152C0168733BF9A4F4440BD00FBE8D48152C05D33F9669B4F444068D0D03FC18152C0419FC893A44F44406BB75D68AE8152C06BB75D68AE4F4440B64AB0389C8152C0C1CAA145B64F4440488AC8B08A8152C05D8AABCABE4F4440DAC9E028798152C0F949B54FC74F44405A9E0777678152C09609BFD4CF4F44400F971C774A8152C0D6AD9E93DE4F444057091687338152C015527E52ED4F44404CC3F011318152C0CEC29E76F84F4440C51B9947FE8052C0800EF3E505504440A96A82A8FB8052C0DC80CF0F23504440B3CD8DE9098152C0386744696F50444065FCFB8C0B8152C046EBA86A82504440F06DFAB31F8152C0B05582C5E1504440ACE28DCC238152C0E2CCAFE6005144407EE36BCF2C8152C053CBD6FA225144403A75E5B33C8152C0B77F65A549514440FE0E45813E8152C0130F289B725144406FD39FFD488152C0A774B0FECF51444045D8F0F44A8152C0C425C79DD251444016F6B4C35F8152C0BC9179E40F524440E8F692C6688152C06EC0E7871152444048A7AE7C968152C0355EBA490C524440EFACDD76A18152C044A852B307524440C4EBFA05BB8152C0C47C7901F6514440F9669B1BD38152C0EE940ED6FF514440,4,1179.99917472173,900,15 min.,578.233274268412,239.476657860931,63751.8762113527,D
0106000020E61000000100000001030000000100000033000000C7116BF1298252C00E4FAF946550444087C43D963E8252C0D5CF9B8A545044400EF8FC30428252C0FFCA4A9352504440DCF4673F528252C0952BBCCB45504440E6577380608252C0AA436E861B50444055185B08728252C04703780B245044407F30F0DC7B8252C0B2852007255044409F3C2CD49A8252C063B48EAA265044405890662C9A8252C00725CCB4FD4F44407FA4880CAB8252C0B9533A58FF4F444002B7EEE6A98252C0EBE2361AC04F4440983446EBA88252C07AE40F069E4F44401B47ACC5A78252C09D6340F67A4F4440B4C876BE9F8252C0091B9E5E294F44405BB1BFEC9E8252C0B3075A81214F44405FB532E1978252C0FB05BB61DB4E444023F8DF4A768252C0740CC85EEF4E4440BC79AA436E8252C010751F80D44E444095826E2F698252C0C269C18BBE4E44409161156F648252C09F5912A0A64E44402E043928618252C051DA1B7C614E444003ECA353578252C00ABABDA4314E444027A5A0DB4B8252C0042159C0044E4440431CEBE2368252C020B58993FB4D44400057B263238252C07C444C89244E4440876D8B321B8252C05166834C324E444027F73B14058252C0BCCB457C274E4440C4995FCD018252C0D1E80E62674E444004E78C28ED8152C00A4B3CA06C4E444007CE1951DA8152C0B537F8C2644E4440008C67D0D08152C04AEF1B5F7B4E444099D36531B18152C0C381902C604E4440DD240681958152C0AD2F12DA724E44401D7233DC808152C05F5E807D744E4440444C89247A8152C066DAFE95954E4440680586AC6E8152C026E4839ECD4E4440BDFBE3BD6A8152C07B14AE47E14E444036C82423678152C090BDDEFDF14E4440E8137992748152C081B22957784F4440A88C7F9F718152C09D9D0C8E924F44401A6EC0E7878152C0D656EC2FBB4F44406F8104C58F8152C0A48D23D6E24F4440F6B4C35F938152C024B9FC87F44F44404F0647C9AB8152C0B9AAECBB22504440327216F6B48152C0B1DCD26A485044407216F6B4C38152C0DC4B1AA375504440A04FE449D28152C01405FA449E50444004CAA65CE18152C0CD3B4ED191504440E7525C55F68152C0B8921D1B8150444019CA8976158252C0DC4B1AA375504440C7116BF1298252C00E4FAF9465504440,8,1095.60385463589,900,15 min.,564.552848165801,243.660243944882,64377.9999999998,H
0106000020E61000000100000001030000000100000033000000A301BC05128052C0A2629CBF094D44404A24D1CB288052C02254A9D9034D44401904560E2D8052C0A96A82A8FB4C4440AA9A20EA3E8052C00CC85EEFFE4C4440350C1F11538052C01B12F758FA4C44401C7C6132558052C00D54C6BFCF4C444098A3C7EF6D8052C08D45D3D9C94C44404D4A41B7978052C01B9E5E29CB4C444038F8C264AA8052C0DB5031CEDF4C4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440D200DE02098052C09D853DEDF04B4440249C16BCE87F52C008C90226704B44404B766C04E27F52C01630815B774B4440A79196CADB7F52C0BA1457957D4B44400135B56CAD7F52C0107A36AB3E4B4440E10B93A9827F52C0B3075A81214B44408CF84ECC7A7F52C04985B185204B444088D7F50B767F52C0FAEDEBC0394B4440018750A5667F52C0410E4A98694B4440213CDA38627F52C0ABE7A4F78D4B44404512BD8C627F52C016C1FF56B24B44402BF697DD937F52C08750A5660F4C444053D0ED258D7F52C015C616821C4C4440738577B9887F52C0153AAFB14B4C44406B60AB048B7F52C03F8C101E6D4C44407DCB9C2E8B7F52C01405FA449E4C44403A4030478F7F52C0698CD651D54C444061376C5B947F52C0E2067C7E184D44407D0569C6A27F52C0E92B4833164D44402849D74CBE7F52C01327F73B144D4440401361C3D37F52C0B0C91AF5104D4440249C16BCE87F52C0B7EEE6A90E4D4440C078060DFD7F52C0E2E995B20C4D4440A301BC05128052C0A2629CBF094D4440,5,1334.45479025699,900,15 min.,595.63131142544,226.92204292609,49356.6479191051,E
0106000020E610000001000000010300000001000000330000006F8104C58F7F52C0BEDEFDF15E59444068791EDC9D7F52C0A835CD3B4E594440E17F2BD9B17F52C01A868F8829594440006F8104C57F52C0B70BCD751A594440A04FE449D27F52C05BB6D6170959444039EE940ED67F52C062DBA2CC0659444059DDEA39E97F52C05B99F04BFD5844401CB1169F028052C0B0726891ED584440A72215C6168052C0064CE0D6DD584440B9C7D2872E8052C05B25581CCE584440E0DBF4673F8052C08D28ED0DBE5844400E677E35078052C0D50968226C584440B5C35F93358052C0CE1951DA1B5844408369183E228052C0B21188D7F557444039B9DFA1288052C04030478FDF574440202922C32A8052C064CC5D4BC85744401CEBE2361A8052C00F45813E9157444099BB96900F8052C00FEECEDA6D57444067614F3BFC7F52C06553AEF02E5744408B1A4CC3F07F52C0B3CD8DE909574440C03E3A75E57F52C0261E5036E5564440B2D7BB3FDE7F52C0020EA14ACD5644405969520ABA7F52C0FB22A12DE7564440085A8121AB7F52C0DE8E705AF05644402BF697DD937F52C02C7DE882FA5644403A234A7B837F52C034BF9A0304574440A14ACD1E687F52C06519E25817574440BADA8AFD657F52C0B3EA73B5155744401ADD41EC4C7F52C09E7B0F971C5744407E00529B387F52C0C993A46B265744409A94826E2F7F52C0419AB1683A5744407784D382177F52C0B341261939574440CC4065FCFB7E52C088635DDC465744403ECBF3E0EE7E52C03AAFB14B5457444054E3A59BC47E52C0AC90F2936A574440B806B64AB07E52C0D6A88768745744406D567DAEB67E52C04FCC7A319457444050C24CDBBF7E52C0B9C2BB5CC4574440B0389CF9D57E52C0E31934F44F58444074EFE192E37E52C0CDE49B6D6E584440D0ED258DD17E52C0A3409FC893584440C2DD59BBED7E52C01B81785DBF58444097E2AAB2EF7E52C07094BC3AC75844407E8CB96B097F52C07E52EDD3F1584440BE4D7FF6237F52C0B0E600C11C59444049A297512C7F52C0A9DE1AD82A594440E17A14AE477F52C0F62345645859444096E7C1DD597F52C04C7155D977594440734BAB21717F52C08CF84ECC7A594440257A19C5727F52C03D27BD6F7C5944406F8104C58F7F52C0BEDEFDF15E594440,6,1430.18263931885,900,15 min.,919.548172461917,431.026724326586,93261.0413848444,F
0106000020E6100000010000000103000000010000003300000030F0DC7BB87C52C0185B087250524440095053CBD67C52C035D252793B524440A20BEA5BE67C52C0EE08A7052F5244404D327216F67C52C0B5A679C7295244406C3EAE0D157D52C0596E6935245244406536C824237D52C0355EBA490C524440B020CD58347D52C0B56CAD2F12524440B7627FD93D7D52C0598638D6C55144402C2B4D4A417D52C0C4EBFA05BB5144402C6519E2587D52C076A6D0798D5144402861A6ED5F7D52C0764F1E166A51444061C3D32B657D52C03EEDF0D7645144400820B589937D52C0772D211FF450444084D382177D7D52C05B087250C25044408F368E588B7D52C0DBBFB2D2A450444061C3D32B657D52C0CD3B4ED191504440C8CD70033E7D52C0312592E865504440302FC03E3A7D52C0B1DCD26A4850444033164D67277D52C0795DBF603750444062F88898127D52C0554D10751F5044407B6B60AB047D52C0AB2688BA0F5044400DAB7823F37C52C032207BBDFB4F44407B14AE47E17C52C096438B6CE74F444086200725CC7C52C01D5A643BDF4F44403F575BB1BF7C52C0008C67D0D04F4440D1967329AE7C52C088855AD3BC4F4440742497FF907C52C0A4DFBE0E9C4F444078280AF4897C52C04FCC7A31944F4440032670EB6E7C52C0C7293A92CB4F4440352905DD5E7C52C096ECD808C44F444007F01648507C52C09D2E8B89CD4F44405166834C327C52C032E6AE25E44F4440357BA015187C52C04EB4AB90F24F4440AB2688BA0F7C52C00E8464011350444075E5B33C0F7C52C0C0B2D2A41450444067614F3BFC7B52C0F8A57EDE54504440A0C37C79017C52C0BF9A0304735044409609BFD4CF7B52C09B030473F450444027DA5548F97B52C094FB1D8A025144409D685721E57B52C021E527D53E514440D2E3F736FD7B52C09A081B9E5E514440E7A90EB9197C52C028B85851835144408ECC237F307C52C0A80018CFA0514440910A630B417C52C0D235936FB6514440F584251E507C52C00490DAC4C9514440117008556A7C52C0A032FE7DC65144402A1DACFF737C52C09981CAF8F751444003603C83867C52C099BB96900F524440E3C798BB967C52C0C3F0113125524440D49AE61DA77C52C0CA4FAA7D3A52444030F0DC7BB87C52C0185B087250524440,10,1451.0380147413,900,15 min.,702.546754879763,219.623577942085,51229.6145084249,J
